@relation '1 train'

@attribute station numeric
@attribute year numeric
@attribute month numeric
@attribute day numeric
@attribute hour numeric
@attribute temperature numeric
@attribute energy numeric

@data
1,2004,1,1,1,46,16853
1,2004,1,1,2,46,16450
1,2004,1,1,3,45,16517
1,2004,1,1,4,41,16873
1,2004,1,1,5,39,17064
1,2004,1,1,6,35,17727
1,2004,1,1,7,33,18574
1,2004,1,1,8,33,19355
1,2004,1,1,9,36,19534
1,2004,1,1,10,47,18611
1,2004,1,1,11,53,9989
1,2004,1,1,12,54,9577
1,2004,1,1,13,55,9286
1,2004,1,1,14,55,9258
1,2004,1,1,15,55,9792
1,2004,1,1,16,55,11629
1,2004,1,1,17,52,14306
1,2004,1,1,18,46,14412
1,2004,1,1,19,40,13025
1,2004,1,1,20,40,18235
1,2004,1,1,21,39,10593
1,2004,1,1,22,38,9942
1,2004,1,1,23,40,9774
1,2004,1,1,24,41,9669
1,2004,1,2,1,43,14155
1,2004,1,2,2,44,14038
1,2004,1,2,3,46,14019
1,2004,1,2,4,46,14489
1,2004,1,2,5,47,14920
1,2004,1,2,6,47,16072
1,2004,1,2,7,47,17800
1,2004,1,2,8,47,19089
1,2004,1,2,9,47,19577
1,2004,1,2,10,47,20047
1,2004,1,2,11,47,14165
1,2004,1,2,12,49,13592
1,2004,1,2,13,52,13576
1,2004,1,2,14,56,13697
1,2004,1,2,15,54,14099
1,2004,1,2,16,56,15523
1,2004,1,2,17,57,17928
1,2004,1,2,18,53,18205
1,2004,1,2,19,50,17158
1,2004,1,2,20,47,18650
1,2004,1,2,21,46,17343
1,2004,1,2,22,45,17389
1,2004,1,2,23,45,17656
1,2004,1,2,24,45,18347
1,2004,1,3,1,45,14439
1,2004,1,3,2,46,14272
1,2004,1,3,3,46,14109
1,2004,1,3,4,44,14081
1,2004,1,3,5,43,14775
1,2004,1,3,6,46,15491
1,2004,1,3,7,46,16536
1,2004,1,3,8,47,18197
1,2004,1,3,9,51,19109
1,2004,1,3,10,55,18012
1,2004,1,3,11,56,28036
1,2004,1,3,12,59,29051
1,2004,1,3,13,65,30187
1,2004,1,3,14,68,31347
1,2004,1,3,15,69,32771
1,2004,1,3,16,68,34436
1,2004,1,3,17,68,36590
1,2004,1,3,18,65,38438
1,2004,1,3,19,64,37593
1,2004,1,3,20,63,16394
1,2004,1,3,21,62,15406
1,2004,1,3,22,63,14278
1,2004,1,3,23,63,13315
1,2004,1,3,24,62,12424
1,2004,1,4,1,63,11273
1,2004,1,4,2,62,10415
1,2004,1,4,3,62,9943
1,2004,1,4,4,62,9859
1,2004,1,4,5,60,9881
1,2004,1,4,6,60,10248
1,2004,1,4,7,60,11016
1,2004,1,4,8,62,12780
1,2004,1,4,9,60,15108
1,2004,1,4,10,64,15680
1,2004,1,4,11,64,15280
1,2004,1,4,12,66,14605
1,2004,1,4,13,71,14689
1,2004,1,4,14,70,14642
1,2004,1,4,15,71,14207
1,2004,1,4,16,72,13614
1,2004,1,4,17,71,14162
1,2004,1,4,18,68,16237
1,2004,1,4,19,67,17430
1,2004,1,4,20,67,17218
1,2004,1,4,21,65,16633
1,2004,1,4,22,64,15238
1,2004,1,4,23,65,13580
1,2004,1,4,24,64,11727
1,2004,1,5,1,64,10750
1,2004,1,5,2,63,10321
1,2004,1,5,3,65,10107
1,2004,1,5,4,64,10065
1,2004,1,5,5,64,10419
1,2004,1,5,6,64,12101
1,2004,1,5,7,64,14847
1,2004,1,5,8,64,15259
1,2004,1,5,9,65,14045
1,2004,1,5,10,66,14009
1,2004,1,5,11,66,14332
1,2004,1,5,12,67,13908
1,2004,1,5,13,68,13981
1,2004,1,5,14,68,13865
1,2004,1,5,15,66,13845
1,2004,1,5,16,66,14350
1,2004,1,5,17,66,15501
1,2004,1,5,18,66,17307
1,2004,1,5,19,63,18786
1,2004,1,5,20,54,19089
1,2004,1,5,21,52,19192
1,2004,1,5,22,49,18416
1,2004,1,5,23,47,17006
1,2004,1,5,24,47,16018
1,2004,1,6,1,47,15742
1,2004,1,6,2,46,15682
1,2004,1,6,3,45,16132
1,2004,1,6,4,43,16761
1,2004,1,6,5,41,17909
1,2004,1,6,6,41,20234
1,2004,1,6,7,39,23948
1,2004,1,6,8,39,24789
1,2004,1,6,9,40,23024
1,2004,1,6,10,43,20613
1,2004,1,6,11,45,19070
1,2004,1,6,12,44,17447
1,2004,1,6,13,45,17556
1,2004,1,6,14,46,18506
1,2004,1,6,15,46,18762
1,2004,1,6,16,46,19162
1,2004,1,6,17,45,21509
1,2004,1,6,18,39,25314
1,2004,1,6,19,39,28060
1,2004,1,6,20,39,28768
1,2004,1,6,21,38,28919
1,2004,1,6,22,36,28653
1,2004,1,6,23,32,27406
1,2004,1,6,24,32,26507
1,2004,1,7,1,30,26014
1,2004,1,7,2,29,26447
1,2004,1,7,3,28,27286
1,2004,1,7,4,28,27923
1,2004,1,7,5,28,29130
1,2004,1,7,6,26,31503
1,2004,1,7,7,26,34900
1,2004,1,7,8,26,35201
1,2004,1,7,9,26,32405
1,2004,1,7,10,28,29694
1,2004,1,7,11,28,27298
1,2004,1,7,12,29,25243
1,2004,1,7,13,29,23481
1,2004,1,7,14,31,22095
1,2004,1,7,15,31,20617
1,2004,1,7,16,31,21013
1,2004,1,7,17,31,23676
1,2004,1,7,18,30,27329
1,2004,1,7,19,30,29685
1,2004,1,7,20,30,29838
1,2004,1,7,21,29,29806
1,2004,1,7,22,31,28704
1,2004,1,7,23,30,27069
1,2004,1,7,24,30,25708
1,2004,1,8,1,29,25104
1,2004,1,8,2,26,25122
1,2004,1,8,3,24,25464
1,2004,1,8,4,22,25715
1,2004,1,8,5,22,26219
1,2004,1,8,6,22,28552
1,2004,1,8,7,24,31815
1,2004,1,8,8,22,32289
1,2004,1,8,9,25,28968
1,2004,1,8,10,31,25705
1,2004,1,8,11,35,23297
1,2004,1,8,12,37,23090
1,2004,1,8,13,37,23244
1,2004,1,8,14,36,23081
1,2004,1,8,15,36,22421
1,2004,1,8,16,35,22883
1,2004,1,8,17,35,24436
1,2004,1,8,18,34,26555
1,2004,1,8,19,35,27394
1,2004,1,8,20,35,27486
1,2004,1,8,21,37,26890
1,2004,1,8,22,35,25529
1,2004,1,8,23,35,23869
1,2004,1,8,24,34,22278
1,2004,1,9,1,33,21175
1,2004,1,9,2,33,21056
1,2004,1,9,3,32,21241
1,2004,1,9,4,31,22062
1,2004,1,9,5,31,23026
1,2004,1,9,6,32,25610
1,2004,1,9,7,31,27220
1,2004,1,9,8,31,27570
1,2004,1,9,9,31,27422
1,2004,1,9,10,33,26881
1,2004,1,9,11,31,26574
1,2004,1,9,12,31,25648
1,2004,1,9,13,33,24980
1,2004,1,9,14,34,24682
1,2004,1,9,15,33,24955
1,2004,1,9,16,33,24932
1,2004,1,9,17,33,25497
1,2004,1,9,18,31,27668
1,2004,1,9,19,31,28784
