year,month,day,hour,holiday,weekend,station,energy
2004,1,1,1,1,0,1,7225
2004,1,1,2,1,0,1,6994
2004,1,1,3,1,0,1,6717
2004,1,1,4,1,0,1,6554
2004,1,1,5,1,0,1,6511
2004,1,1,6,1,0,1,6503
2004,1,1,7,1,0,1,6536
2004,1,1,8,1,0,1,6464
2004,1,1,9,1,0,1,6623
2004,1,1,10,1,0,1,7016
2004,1,1,11,1,0,1,7414
2004,1,1,12,1,0,1,7624
2004,1,1,13,1,0,1,7737
2004,1,1,14,1,0,1,7760
2004,1,1,15,1,0,1,7758
2004,1,1,16,1,0,1,7756
2004,1,1,17,1,0,1,7806
2004,1,1,18,1,0,1,8167
2004,1,1,19,1,0,1,8480
2004,1,1,20,1,0,1,8386
2004,1,1,21,1,0,1,8310
2004,1,1,22,1,0,1,8139
2004,1,1,23,1,0,1,7890
2004,1,1,24,1,0,1,7509
2004,1,2,1,0,0,1,7002
2004,1,2,2,0,0,1,6755
2004,1,2,3,0,0,1,6583
2004,1,2,4,0,0,1,6478
2004,1,2,5,0,0,1,6564
2004,1,2,6,0,0,1,6832
2004,1,2,7,0,0,1,7250
2004,1,2,8,0,0,1,7488
2004,1,2,9,0,0,1,7713
2004,1,2,10,0,0,1,8069
2004,1,2,11,0,0,1,8392
2004,1,2,12,0,0,1,8584
2004,1,2,13,0,0,1,8577
2004,1,2,14,0,0,1,8581
2004,1,2,15,0,0,1,8612
2004,1,2,16,0,0,1,8672
2004,1,2,17,0,0,1,8669
2004,1,2,18,0,0,1,8865
2004,1,2,19,0,0,1,9094
2004,1,2,20,0,0,1,8874
2004,1,2,21,0,0,1,8730
2004,1,2,22,0,0,1,8554
2004,1,2,23,0,0,1,8207
2004,1,2,24,0,0,1,7800
2004,1,3,1,0,1,1,7292
2004,1,3,2,0,1,1,6982
2004,1,3,3,0,1,1,6736
2004,1,3,4,0,1,1,6607
2004,1,3,5,0,1,1,6555
2004,1,3,6,0,1,1,6627
2004,1,3,7,0,1,1,6738
2004,1,3,8,0,1,1,6790
2004,1,3,9,0,1,1,7055
2004,1,3,10,0,1,1,7520
2004,1,3,11,0,1,1,7853
2004,1,3,12,0,1,1,8083
2004,1,3,13,0,1,1,8186
2004,1,3,14,0,1,1,8160
2004,1,3,15,0,1,1,8208
2004,1,3,16,0,1,1,8172
2004,1,3,17,0,1,1,8129
2004,1,3,18,0,1,1,8349
2004,1,3,19,0,1,1,8699
2004,1,3,20,0,1,1,8577
2004,1,3,21,0,1,1,8426
2004,1,3,22,0,1,1,8271
2004,1,3,23,0,1,1,8010
2004,1,3,24,0,1,1,7629
2004,1,4,1,0,1,1,7532
2004,1,4,2,0,1,1,7230
2004,1,4,3,0,1,1,6996
2004,1,4,4,0,1,1,6889
2004,1,4,5,0,1,1,6825
2004,1,4,6,0,1,1,6808
2004,1,4,7,0,1,1,6847
2004,1,4,8,0,1,1,6856
2004,1,4,9,0,1,1,7046
2004,1,4,10,0,1,1,7341
2004,1,4,11,0,1,1,7616
2004,1,4,12,0,1,1,7865
2004,1,4,13,0,1,1,8054
2004,1,4,14,0,1,1,8156
2004,1,4,15,0,1,1,8262
2004,1,4,16,0,1,1,8296
2004,1,4,17,0,1,1,8411
2004,1,4,18,0,1,1,8769
2004,1,4,19,0,1,1,9047
2004,1,4,20,0,1,1,9002
2004,1,4,21,0,1,1,8914
2004,1,4,22,0,1,1,8639
2004,1,4,23,0,1,1,8205
2004,1,4,24,0,1,1,7894
2004,1,5,1,0,0,1,7031
2004,1,5,2,0,0,1,6769
2004,1,5,3,0,0,1,6648
2004,1,5,4,0,0,1,6634
2004,1,5,5,0,0,1,6844
2004,1,5,6,0,0,1,7265
2004,1,5,7,0,0,1,7919
2004,1,5,8,0,0,1,8261
2004,1,5,9,0,0,1,8511
2004,1,5,10,0,0,1,8875
2004,1,5,11,0,0,1,9061
2004,1,5,12,0,0,1,9105
2004,1,5,13,0,0,1,9142
2004,1,5,14,0,0,1,9104
2004,1,5,15,0,0,1,9034
2004,1,5,16,0,0,1,9015
2004,1,5,17,0,0,1,9131
2004,1,5,18,0,0,1,9519
2004,1,5,19,0,0,1,9854
2004,1,5,20,0,0,1,9805
2004,1,5,21,0,0,1,9759
2004,1,5,22,0,0,1,9330
2004,1,5,23,0,0,1,8822
2004,1,5,24,0,0,1,8304
2004,1,6,1,1,0,1,8241
2004,1,6,2,1,0,1,8025
2004,1,6,3,1,0,1,7896
2004,1,6,4,1,0,1,7874
2004,1,6,5,1,0,1,8048
2004,1,6,6,1,0,1,8614
2004,1,6,7,1,0,1,9502
2004,1,6,8,1,0,1,9952
2004,1,6,9,1,0,1,10017
2004,1,6,10,1,0,1,10163
2004,1,6,11,1,0,1,10225
